Time,Text,Sentiment,CompoundScore,Source
2025-06-15T10:30:04Z,Rajrishi Singhal: What markets demand needn’t be what society wants,Negative,-0.128,News
2025-06-15T07:26:37Z,How real estate helps Vijay Kedia invest in stocks,Positive,0.3818,News
2025-06-15T04:30:16Z,Why Apple is 2025’s worst-performing Big Tech stock,Neutral,0.0,News
2025-06-14T01:00:09Z,"A ₹10,000 crore bet on India's hotels: Investors pile in and mergers and acquisitions follow as sector scales up",Neutral,0.0,News
2025-06-13T19:50:14Z,"Dye & Durham’s Ex-CFO Urges Sale After Stock Drops, Debt Mounts",Negative,-0.3612,News
2025-06-13T11:37:35Z,"BlackRock’s ‘bold, but doable’ targets reflect a changing asset manager",Positive,0.5023,News
2025-06-13T08:30:03Z,Why regretful tweets can’t fix Musk’s Tesla mess,Negative,-0.6597,News
2025-06-13T03:32:03Z,Factbox-Metas Scale AI stake buyout spotlights other major deals amid regulatory risks,Negative,-0.2732,News
2025-06-12T12:17:34Z,Air India plane crash: Boeing issues first statement after deadly Ahmedabad disaster involving 242 passengers,Negative,-0.7783,News
2025-06-12T08:44:30Z,Maharashtra’s expensive alcohol—following its first duty hike in 14 years—will still find takers. Here’s why,Neutral,0.0,News
2025-06-12T06:30:19Z,The IPO gamble: The odds seem stacked against investors,Neutral,0.0,News
2025-06-12T05:08:05Z,Want to start a mutual fund SIP? Here is a step-by-step guide,Positive,0.0772,News
2025-06-11T22:11:40Z,"Chanos Hits Back Strategy’s Saylor, Calling Him a ‘Salesman’",Neutral,0.0,News
2025-06-11T10:10:16Z,Dabur reaches out to distributors as quick commerce disrupts general trade,Positive,0.0516,News
2025-06-11T09:25:08Z,Adnoc Is Evaluating Possibility of Buying Some BP Assets,Positive,0.1779,News
2025-06-11T01:30:18Z,Mint Quick Edit | Mutual fund inflows signal household caution,Neutral,0.0,News
2025-06-10T10:24:38Z,Incentives for JLR’s senior executives are now linked to Tata Motors’s market performance,Positive,0.3182,News
2025-06-09T17:33:12Z,"HDFC Bank, Mehtas, and decades of discord: Timeline Explained",Negative,-0.4019,News
2025-06-09T13:37:38Z,"Mamaearth’s parent got its hands dirty for a distribution overhaul—it’s painful, but paying off",Negative,-0.4404,News
2025-06-09T11:47:01Z,"Grab Plays Down GoTo Deal, Says No Talks ‘at This Time’",Negative,-0.0516,News
